filename,text
speaker1_01.wav,不過由於球員當兵和被職棒挖角加上選手國際比賽經
speaker1_02.wav,驗不足造成戰績不佳台北體專蔡特龍校長表示為防
speaker1_03.wav,止高中或大專好手被高薪挖走職棒設立最低年齡限制確
speaker1_04.wav,女足隊首次參賽即得到第四名下一屆福岡世大運時若
speaker1_05.wav,能及早準備規劃應有奪牌實力至於田徑方面今年集訓分散以
speaker1_06.wav,後最好能夠集中訓練以達到預期的效果
speaker1_07.wav,體育新聞明年泰國約翰走路高球賽葉彰廷謝錦昇將
speaker1_08.wav,出征記者宋永祥台北報導亞洲最大規模與獎金最高的第四屆約
speaker1_09.wav,翰走路高球精英賽將於明年二月在泰國普吉島舉行我國職業新
speaker1_10.wav,秀葉彰廷與青年好手謝錦昇二人具有難得的參賽資格屆時
speaker1_11.wav,將可與英國佛度澳洲諾曼德國蘭格等世界高壇巨星同場競技
speaker1_12.wav,角逐六十萬英鎊約合台幣兩千四百五十萬總獎金
speaker1_13.wav,於三年前來亞洲創辦這項大賽的約翰走路父子公司今年
speaker1_14.wav,第四屆除邀請歐洲巡迴賽一百名好手外亞洲各國在今年亞巡
speaker1_15.wav,賽前十二名以內者亦被邀參加我國葉彰廷是以總分第二名謝錦
speaker1_16.wav,昇總分第四名具有參賽資格這項大賽定於明年二月三日至
speaker1_17.wav,六日在泰國觀光勝地普吉島藍峽谷球場舉行
speaker1_18.wav,申辦奧運會雪梨開出誘人條件體育部長登台舉辦說明會
speaker1_19.wav,大陸奧會主席何振梁指違反規定記者李琢台北報導北京
speaker1_20.wav,申辦兩千年奧運的最大對手雪梨市昨日派遣澳洲新南威爾斯
speaker10_01.wav,救命啊一絲不掛的李姓女美容師向港都警伯
speaker10_02.wav,指控同居男友通緝犯陳見生涉嫌強迫她裸體罰青
speaker10_03.wav,蛙跳並出手毆打及剃光她的體毛但陳見生否認有
speaker10_04.wav,李女指控情事現年三十二歲的陳見生高雄縣人有妨害
speaker10_05.wav,家庭妨害自由詐欺及妨害兵役前科目前
speaker10_06.wav,因背信案件遭通緝中無固定職業
speaker10_07.wav,據三十四歲的李姓美容師說她於三年前在港都雪莉舞廳內
